source_row,record_type,source_bpm_id,source_gas_id,source_name,source_address,source_url,runtime_domain,runtime_name,parent_source_row,configured_srv_num,mapped_srv_num,confirmed_srv_nums,building_id,building_name,building_id_status,mapping_status,source_id_conflict
5,first_instance,DictValue468354902,03RS0012,Кумертауский межрайонный суд Республики Башкортостан,"453300, г. Кумертау, ул. 40 лет Победы, д.38, корп.1",https://kumertauskiy.bkr.sudrf.ru/modules.php?name=sud_delo,kumertauskiy--bkr.sudrf.ru,Кумертауский межрайонный суд,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
6,appeal,DictValue468541908,03OS0000,Верховный суд Республики Башкортостан,"450002, Республика Башкортостан, г. Уфа, ул. Пушкина, 88/1",https://vs.bkr.sudrf.ru/modules.php?name=sud_delo,vs--bkr.sudrf.ru,Верховный суд Республики Башкортостан,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
7,judicial_presence,DictValue500579137,03RS0060_Kirgiz,Стерлибашевский межрайонный суд Ресублики Башкорстостан (судебное присутствие в с. Киргиз-Мияки),"452080, Республика Башкортостан, село Киргиз-Мияки, улица Сооветская д.12",https://sterlibashevsky.bkr.sudrf.ru/modules.php?name=sud_delo,sterlibashevsky--bkr.sudrf.ru,Стерлибашевский межрайонный суд,64,,1,[1],913410002,Постоянное судебное присутствие в с. Киргиз-Мияки,named_catalog_entry,confirmed_shared_srv1_catalog_portfolio_completeness_unverified,False
8,judicial_presence,DictValue519674444,03RS0040_Akiar,Зилаирский межрайонный суд Республики Башкортостан (судебное присутствие в с. Акъяр),"453800, Хайбуллинский р-н, с. Акъяр, ул. М. Акмуллы, д. 24",https://zilairsky.bkr.sudrf.ru/modules.php?name=sud_delo,zilairsky--bkr.sudrf.ru,Зилаирский межрайонный суд,48,,1,[1],913410000,"ПСП в с. Акъяр, Хайбуллинского района",named_catalog_entry,confirmed_shared_srv1_catalog_portfolio_completeness_unverified,True
9,judicial_presence,DictValue536284009,03RS0025_Buraevo,Балтачевский межрайонный суд Республики Башкортостан (судебное присутствие в с. Бураево),"452960, Республика Башкортостан, с.Бураево, ул.Ленина, д.102",https://baltachevsky.bkr.sudrf.ru/modules.php?name=sud_delo,baltachevsky--bkr.sudrf.ru,Балтачевский межрайонный суд,10,,1,[1],913410000,Постоянное судебное присутствие в с. Бураево Бураевского района Республики Башкортостан,named_catalog_entry,confirmed_shared_srv1_catalog_portfolio_completeness_unverified,False
10,first_instance,DictValue536725329,03RS0025,Балтачевский межрайонный суд Республики Башкортостан,"452980, РБ, Балтачевский район, с. Старобалтачево, ул. Кирова, 3",https://baltachevsky.bkr.sudrf.ru/modules.php?name=sud_delo,baltachevsky--bkr.sudrf.ru,Балтачевский межрайонный суд,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
11,judicial_presence,DictValue713418865,03RS0010_starosubhangulovo,Белорецкий межрайонный суд Республики Башкортостан (судебное присутствие в с. Старосубхангулово),"453580, Республика Башкортостан, Бурзянский район, с. Старосубхангулово, ул. Ленина, д. 55",https://belorecky.bkr.sudrf.ru/modules.php?name=sud_delo,belorecky--bkr.sudrf.ru,Белорецкий межрайонный суд,36,,1,[1],913410002,ПСП в с. Старосубхангулово,named_catalog_entry,confirmed_shared_srv1_catalog_portfolio_completeness_unverified,False
12,judicial_presence,DictValue713418868,03RS0010_mezhgorie,Белорецкий межрайонный суд Республики Башкортостан (судебное присутствие в г. Межгорье),"453570, Республика Башкортостан, г. Межгорье, ул. Цветочная, д. 8",https://belorecky.bkr.sudrf.ru/modules.php?name=sud_delo,belorecky--bkr.sudrf.ru,Белорецкий межрайонный суд,36,,1,[1],913410001,ПСП в г. Межгорье,named_catalog_entry,confirmed_shared_srv1_catalog_portfolio_completeness_unverified,False
13,first_instance,TERRITORIAL_COURT_7950,03RS0001,Демский районный суд г. Уфы,"450024, г. Уфа, ул. Правды, д. 2/1",https://demsky.bkr.sudrf.ru/modules.php?name=sud_delo,demsky--bkr.sudrf.ru,Демский районный суд г. Уфы,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
14,first_instance,TERRITORIAL_COURT_7951,03RS0002,Калининский районный суд г. Уфы,"450043, г. Уфа, ул. Мушникова, д. 11/1",https://kalininsky.bkr.sudrf.ru/modules.php?name=sud_delo,kalininsky--bkr.sudrf.ru,Калининский районный суд г. Уфы,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
