# Проба реестра Свердловской области (этап 1 тиражирования):
# delo_id гражданских дел 1-й инст. + классификация поиска (ожидаем CAPTCHA у всех).
# Формат: тип;Название;URL — читает scripts/build_region_registry.py.
fi;Академический районный суд г. Екатеринбурга;https://akademicheskiy--svd.sudrf.ru/modules.php?name=sud_delo
fi;Алапаевский городской суд;https://alapaevsky--svd.sudrf.ru/modules.php?name=sud_delo
fi;Артемовский городской суд;https://artemovsky--svd.sudrf.ru/modules.php?name=sud_delo
fi;Артинский районный суд;https://artinsky--svd.sudrf.ru/modules.php?name=sud_delo
fi;Асбестовский городской суд;https://asbestovsky--svd.sudrf.ru/modules.php?name=sud_delo
fi;Белоярский районный суд;https://beloyarsky--svd.sudrf.ru/modules.php?name=sud_delo
fi;Березовский городской суд;https://berezovsky--svd.sudrf.ru/modules.php?name=sud_delo
fi;Богдановичский городской суд;https://bogdanovichsky--svd.sudrf.ru/modules.php?name=sud_delo
fi;Верх-Исетский районный суд г. Екатеринбурга;https://verhisetsky--svd.sudrf.ru/modules.php?name=sud_delo
fi;Верхнепышминский городской суд;https://verhnepyshminsky--svd.sudrf.ru/modules.php?name=sud_delo
fi;Верхнесалдинский районный суд;https://verhnesaldinsky--svd.sudrf.ru/modules.php?name=sud_delo
fi;Верхотурский районный суд;https://verhotursky--svd.sudrf.ru/modules.php?name=sud_delo
fi;Городской суд г. Лесного;https://lesnoy--svd.sudrf.ru/modules.php?name=sud_delo
fi;Дзержинский районный суд г. Нижний Тагил;https://dzerzhinsky--svd.sudrf.ru/modules.php?name=sud_delo
fi;Железнодорожный районный суд г. Екатеринбурга;https://zheleznodorozhny--svd.sudrf.ru/modules.php?name=sud_delo
fi;Ивдельский городской суд;https://ivdelsky--svd.sudrf.ru/modules.php?name=sud_delo
fi;Ирбитский районный суд;https://irbitsky--svd.sudrf.ru/modules.php?name=sud_delo
fi;Каменский районный суд;https://kamensky--svd.sudrf.ru/modules.php?name=sud_delo
fi;Камышловский районный суд;https://kamyshlovsky--svd.sudrf.ru/modules.php?name=sud_delo
fi;Карпинский городской суд;https://karpinsky--svd.sudrf.ru/modules.php?name=sud_delo
fi;Качканарский городской суд;https://kachkanarsky--svd.sudrf.ru/modules.php?name=sud_delo
fi;Кировградский городской суд;https://kirovgradsky--svd.sudrf.ru/modules.php?name=sud_delo
fi;Кировский районный суд г. Екатеринбурга;https://kirovsky--svd.sudrf.ru/modules.php?name=sud_delo
fi;Красногорский районный суд г. Каменск-Уральского;https://krasnogorsky--svd.sudrf.ru/modules.php?name=sud_delo
fi;Краснотурьинский городской суд;https://krasnoturinsky--svd.sudrf.ru/modules.php?name=sud_delo
fi;Красноуральский городской суд;https://krasnouralsky--svd.sudrf.ru/modules.php?name=sud_delo
fi;Красноуфимский районный суд;https://krasnoufimsky--svd.sudrf.ru/modules.php?name=sud_delo
fi;Кушвинский городской суд;https://kushvinsky--svd.sudrf.ru/modules.php?name=sud_delo
